column_number,row_letter,concentration,well,plate,mouse_id,name
17,4,1.5168797095105044,4.017.0,MAA000154,30_2_M,4.017.0-MAA000154-30_2_M-1
17,5,1.5291020599196576,5.017.0,MAA000154,30_2_M,5.017.0-MAA000154-30_2_M-1
17,6,0.34985201901557306,6.017.0,MAA000154,30_2_M,6.017.0-MAA000154-30_2_M-1
17,7,2.0490085274950807,7.017.0,MAA000154,30_2_M,7.017.0-MAA000154-30_2_M-1
17,8,0.8361524014693299,8.017.0,MAA000154,30_2_M,8.017.0-MAA000154-30_2_M-1
17,9,0.09948626653111033,9.017.0,MAA000154,30_2_M,9.017.0-MAA000154-30_2_M-1
17,10,1.3882330770111124,10.017.0,MAA000154,30_2_M,10.017.0-MAA000154-30_2_M-1
17,11,0.8017204172539102,11.017.0,MAA000154,30_2_M,11.017.0-MAA000154-30_2_M-1
17,12,0.38903381943732707,12.017.0,MAA000154,30_2_M,12.017.0-MAA000154-30_2_M-1
17,13,0.38657883139308685,13.017.0,MAA000154,30_2_M,13.017.0-MAA000154-30_2_M-1
17,14,0.49449671138456364,14.017.0,MAA000154,30_2_M,14.017.0-MAA000154-30_2_M-1
